id,name,description,neighborhood_overview,host_id,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month,city
1234376912864523021,Spacious Garden Apt in Center Square,"Nestled in the vibrant heart of the historic Center Square downtown area, this tranquil one-bedroom garden apartment offers a serene escape from the bustling city life. Housed within a charming brownstone building, it boasts a fully furnished living room that invites relaxation, a spacious bathroom for your comfort, and a convenient laundry room. This gem combines the allure of history with modern living. Near Hospitals, Schools and Government buildings.",,564967431,Stephanie,2024-03-02,,,within an hour,100%,88%,f,Center Square & Hudson/Park,2.0,2.0,"['email', 'phone']",t,t,,SIXTH WARD,42.65046806904435,-73.7643479581064,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Central heating"", ""Cleaning products"", ""Bed linens"", ""Dryer \u2013\u00a0In unit"", ""Drying rack for clothing"", ""Carbon monoxide alarm"", ""Private entrance"", ""Exterior security cameras on property"", ""Wine glasses"", ""First aid kit"", ""Wifi"", ""Washer"", ""Dishes and silverware"", ""Frigidaire oven"", ""Smoke alarm"", ""Kitchen"", ""Self check-in"", ""Pets allowed"", ""Free street parking"", ""Cooking basics"", ""Clothing storage: closet and dresser"", ""Backyard - Fully fenced"", ""Coffee maker: drip coffee maker, Keurig coffee machine"", ""Hangers"", ""Frigidaire refrigerator"", ""Dining table"", ""TV"", ""Body soap"", ""Extra pillows and blankets"", ""Iron"", ""Dedicated workspace"", ""Frigidaire stove"", ""Ethernet connection"", ""Fire extinguisher"", ""Smart lock"", ""Hot water""]",82.0,t,0,0,16,286,2,2,0,227.0,2.0,12.0,984.0,2024-10-19,2024-10-28,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.44,Albany
887167811237271928,The Comfort II,Your family will be close to everything when you stay at this centrally-located place.,,459472925,Gabriel,2022-05-16,"Albany, NY",,within a few hours,90%,57%,f,West Hill,2.0,2.0,['phone'],t,t,,THIRD WARD,42.66246,-73.76576,Private room in rental unit,Private room,1,1.0,1 shared bath,1.0,2.0,"[""Microwave"", ""Free parking on premises"", ""Trash compactor"", ""Coffee maker: pour-over coffee"", ""Bed linens"", ""Carbon monoxide alarm"", ""Exterior security cameras on property"", ""Wine glasses"", ""Clothing storage: walk-in closet"", ""Blender"", ""Shampoo"", ""Long term stays allowed"", ""Ceiling fan"", ""Wifi"", ""Washer"", ""Dishes and silverware"", ""Toaster"", ""Air conditioning"", ""Smoke alarm"", ""Kitchen"", ""Room-darkening shades"", ""Self check-in"", ""Shower gel"", ""Free dryer"", ""Cooking basics"", ""Heating - split type ductless system"", ""Lock on bedroom door"", ""Essentials"", ""Refrigerator"", ""Hangers"", ""TV"", ""Hair dryer"", ""Iron"", ""Dedicated workspace"", ""Coffee"", ""Ethernet connection"", ""Fire extinguisher"", ""Smart lock"", ""Hot water""]",36.0,t,30,59,89,363,26,10,1,304.0,12.0,60.0,2160.0,2023-06-06,2025-02-17,4.73,4.69,4.69,4.92,5.0,4.12,4.65,1.23,Albany
938271786418327576,Knickerbocker 3 The Argus Hotel,"Large queen room with queen pull out couch located on the second floor. Private porch, bathroom with tub and small wet bar with microwave and mini fridge. Each room has a SmartTV and Apple TV.<br /><br />Great for extended stays<br /><br />This room is not pet friendly.<br /><br />Complimentary Services:<br />Continental Breakfast<br />Onsite Parking<br />Electric Parking<br />Wi-Fi & Apple TV<br />Keyless Entry<br />Ensuite Guest Rooms<br />​<br />Paid Services:<br />Cocktails<br />Meeting Space Rentals<br />Pets (If applicable)<br />Early Checkin (1PM)<br />Late Checkout (12PM)","The Argus Hotel is located directly on Washington Park (Olmstead Design) is just a short walk to downtown, the Capitol Building and Empire State Plaza, Albany Medical Center, Albany Law School & Albany Pharmacy College, so leave your car for the day in our onsite parking lot. The hotel is only two blocks from hip Center Square, a neighborhood of 19th century brownstones, where you can stroll to numerous restaurants, galleries, pubs, and music venues.",526358730,Argus,2023-07-17,,,within an hour,80%,98%,f,Washington Park,12.0,13.0,"['email', 'phone']",t,f,Neighborhood highlights,SIXTH WARD,42.65868,-73.77333,Room in hotel,Private room,2,1.0,1 bath,1.0,1.0,"[""Microwave"", ""Free parking on premises"", ""First aid kit"", ""Shampoo"", ""Indoor fireplace"", ""Long term stays allowed"", ""Cleaning available during stay"", ""Wifi"", ""Mini fridge"", ""Outdoor dining area"", ""EV charger - level 1"", ""Air conditioning"", ""Smoke alarm"", ""Kitchen"", ""BBQ grill"", ""Self check-in"", ""Shower gel"", ""Elevator"", ""Conditioner"", ""Keypad"", ""Hangers"", ""TV"", ""Hair dryer"", ""Dedicated workspace"", ""Fire extinguisher"", ""Private patio or balcony""]",243.0,t,26,52,81,340,0,0,0,281.0,0.0,0.0,0.0,,,,,,,,,,,Albany
898743867240851780,"Airy 5Br-2Ba,Kids Rm, 6TVs,Pvt Fence-yard&Parking!","Whatever brings you to Albany, New York – wish to explore the city, just have a good time and enjoy nightlife, graduation or sporting events, visiting university, business, or any other reason, the location of this traditional colonial home is designed comfortably for your stay. <br />Guests have private access to the entire 1872sqft house, free WiFi, free parking on premises that can accommodate at least 2 full size cars, private fenced backyard and full use of your own washing machine and dryer.",,516414095,Rashawn,2023-05-24,"Albany, NY",,within an hour,100%,97%,t,Pine Hills,1.0,2.0,"['email', 'phone']",t,t,,TENTH WARD,42.66087,-73.78655,Entire home,Entire home/apt,11,2.0,2 baths,5.0,6.0,"[""Microwave"", ""Dishwasher"", ""Central heating"", ""Free parking on premises"", ""Cleaning products"", ""Free washer \u2013 In building"", ""Bed linens"", ""Carbon monoxide alarm"", ""Barbecue utensils"", ""Private entrance"", ""Exterior security cameras on property"", ""Gas stove"", ""Wine glasses"", ""First aid kit"", ""Shampoo"", ""Baby bath - always at the listing"", ""Long term stays allowed"", ""Ceiling fan"", ""Wifi"", ""Single oven"", ""Dishes and silverware"", ""Outdoor dining area"", ""Air conditioning"", ""Smoke alarm"", ""Kitchen"", ""BBQ grill"", ""Self check-in"", ""Pets allowed"", ""Free dryer \u2013 In building"", ""Cooking basics"", ""Clothing storage: closet and dresser"", ""Conditioner"", ""Children\u2019s books and toys for ages 5-10 years old and 10+ years old"", ""Outdoor furniture"", ""Coffee maker"", ""Essentials"", ""Refrigerator"", ""Keypad"", ""Hangers"", ""Dining table"", ""50 inch HDTV with HBO Max, Disney+, Apple TV, Hulu, standard cable, Roku, Netflix"", ""Body soap"", ""Private backyard \u2013 Fully fenced"", ""Extra pillows and blankets"", ""Hair dryer"", ""Iron"", ""Dedicated workspace"", ""Coffee"", ""Ethernet connection"", ""Fire extinguisher"", ""Children's playroom"", ""Private patio or balcony"", ""Hot water""]",237.0,t,20,47,74,74,49,19,0,74.0,20.0,114.0,27018.0,2023-06-19,2025-01-26,4.88,4.88,4.86,4.94,4.98,4.8,4.92,2.36,Albany
1005978346817864540,Massive 4BD/3BA 2-Fl Townhouse Apt Downtown Albany,"Stay in our 4-bedroom townhouse-style 2-story apartment nestled in a renovated, historic 200-year-old building located in Albany's serene Pastures neighborhood. Just a short walk from landmarks like the Albany Medical Center, Times Union Center, Empire State Plaza, and vibrant Lark Street. Easy access to I-787, I-90 & I-87. Four queen beds and a queen air mattress accommodate up to 10. Ideal for large families and groups. Dive into Albany's history with modern comforts.",+ 92 Walkscore<br />+ 5-minute walk to MVP Arena<br />+ 13-minute walk to N.Y.S. Museum and Empire State Plaza<br />+ 4-minute drive to Palace Theatre<br />+ Numerous restaurants and fast food within 5-10 minute walk<br />+ Large open grassy area in rear of building,44434571,Earl,2015-09-17,,"I grew up in Cebu, Philippines and moved to New York when I was 10. After living around the Capital Region through grade school, I studied Computer Engineering at NYU. Since graduating, I've worked in video production, higher ed, satellite engineering, and crypto. I love traveling on small budgets (with the help of award travel with credit card points and miles), and I have a passion for technology, real estate investment, and entrepreneurship.",within an hour,100%,99%,f,Pastures,10.0,10.0,"['email', 'phone']",t,t,Neighborhood highlights,SECOND WARD,42.64534889999999,-73.75364650000002,Entire rental unit,Entire home/apt,12,3.0,3 baths,4.0,4.0,"[""Microwave"", ""Dishwasher"", ""Pack \u2019n play/Travel crib - available upon request"", ""Free washer \u2013 In building"", ""Bed linens"", ""Smart lock"", ""Carbon monoxide alarm"", ""Clothing storage: walk-in closet, closet, and dresser"", ""Bathtub"", ""Private entrance"", ""Exterior security cameras on property"", ""Paid dryer \u2013 In building"", ""First aid kit"", ""Shampoo"", ""Bidet"", ""Free carport on premises \u2013 1 space"", ""Long term stays allowed"", ""Wifi"", ""Cleaning available during stay"", ""Dishes and silverware"", ""Toaster"", ""70 inch HDTV with Amazon Prime Video, Disney+, Hulu, Netflix, Roku, Chromecast"", ""Smoke alarm"", ""Kitchen"", ""Room-darkening shades"", ""Self check-in"", ""Shower gel"", ""Frigidaire electric stove"", ""Laundromat nearby"", ""Pets allowed"", ""Free street parking"", ""Shared backyard \u2013 Fully fenced"", ""Cooking basics"", ""Conditioner"", ""Coffee maker: drip coffee maker"", ""Essentials"", ""Hangers"", ""Frigidaire refrigerator"", ""Dining table"", ""Radiant heating"", ""Baking sheet"", ""Body soap"", ""Freezer"", ""Oven"", ""Extra pillows and blankets"", ""Hair dryer"", ""Iron"", ""Window AC unit"", ""Noise decibel monitors on property"", ""Dedicated workspace"", ""Game console: PS3"", ""Coffee"", ""Paid parking on premises"", ""Fire extinguisher"", ""Luggage dropoff allowed"", ""Paid street parking off premises"", ""Hot water""]",193.0,t,19,45,72,336,49,38,0,277.0,39.0,228.0,44004.0,2023-10-29,2025-01-26,4.8,4.86,4.84,4.86,4.9,4.61,4.76,2.99,Albany
774701102203414342,Entire cozy unit in Albany,"Spacious, comfortable unit less than 10 minutes from downtown Albany, 5 minutes from AlbanyMed, and walking distance to St. Peter's Hospital, Maria College, Buckingham Lake, CVS, and restaurants. Features a dining area with air fryer and microwave (no stove), an office, and basic workout equipment. Ideal for short getaways or extended stays, perfect for traveling nurses, doctors, remote workers, and anyone seeking a peaceful neighborhood.",,261036923,Hasan,2019-05-10,"Albany, NY","4 years of hosting experience and stayed at Airbnbs while traveling across the US, we created our own Airbnb to give comfort and peaceful stay to our guests.",within an hour,100%,97%,t,New Scotland,1.0,1.0,"['email', 'phone']",t,t,,FOURTEENTH WARD,42.6601,-73.80719,Entire home,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Microwave"", ""Free parking on premises"", ""Central heating"", ""Cleaning products"", ""Carbon monoxide alarm"", ""Clothing storage: walk-in closet, closet, and dresser"", ""Private entrance"", ""Exterior security cameras on property"", ""Wine glasses"", ""Lockbox"", ""Shampoo"", ""Long term stays allowed"", ""Wifi"", ""Mini fridge"", ""Dishes and silverware"", ""Exercise equipment"", ""Smoke alarm"", ""Self check-in"", ""Free street parking"", ""Coffee maker"", ""Essentials"", ""Refrigerator"", ""Hangers"", ""Dining table"", ""TV"", ""Hot water kettle"", ""Body soap"", ""Freezer"", ""Private backyard \u2013 Fully fenced"", ""Window AC unit"", ""Hair dryer"", ""Iron"", ""Dedicated workspace"", ""Coffee"", ""Fire pit"", ""Fire extinguisher"", ""Hot water""]",72.0,t,16,46,70,249,56,19,0,249.0,21.0,114.0,8208.0,2023-01-01,2025-01-29,4.88,4.93,4.89,4.98,4.98,4.95,4.86,2.12,Albany
1291321613053647042,The Belvedere,"The whole group will be comfortable in this spacious and unique space. The upstairs Belvedere is a personal bar with a 360 rooftop view of Albany that will blow your socks off.  The spacious open floor plan is great for gatherings, with a public and private bathroom/Jacuzzi room.",,571617730,Zinte,2024-04-10,,,within an hour,90%,50%,f,Mansion Area,1.0,1.0,['phone'],f,t,,SECOND WARD,42.6445746,-73.7566836,Entire rental unit,Entire home/apt,6,0.0,0 baths,0.0,2.0,"[""Pool table"", ""Free parking on premises"", ""BBQ grill"", ""TV"", ""Wifi"", ""Washer"", ""Hot tub"", ""Carbon monoxide alarm"", ""Air conditioning"", ""Exterior security cameras on property"", ""Kitchen"", ""Fire extinguisher""]",300.0,t,29,59,89,357,0,0,0,298.0,0.0,0.0,0.0,,,,,,,,,,,Albany
43736299,*The Blue House* Incredible 3 Bedroom Apartment,"Beautiful 2nd Floor apartment in the heart of Albany. We are located just steps away from Washington Park, Albany Med, local restaurants and bars. This space features refinished original hardwood floors, exposed brick and a built in fireplace with 50"" Smart TV. Magnificent large kitchen. Second floor balcony. Free street parking only.","We are located in a young professional area, seconds away from Albany Medical Center. AMC employs close to ten thousand people. Walking distance to Washington Park, The Cuckoo’s Nest and Washington Tavern.",349460842,Scott,2020-06-10,"Albany, NY",Hi my name is Scott Guadagnino. I’ve been in the Albany area for 9 years. Went to school in South Carolina. We love hosting and having guests at our 4 Airbnb’s!,within an hour,100%,98%,t,Pine Hills,17.0,17.0,"['email', 'phone']",t,t,Neighborhood highlights,TENTH WARD,42.66257,-73.78281,Entire home,Entire home/apt,6,1.0,1 bath,3.0,3.0,"[""Microwave"", ""Cleaning products"", ""Free washer \u2013 In building"", ""Bed linens"", ""Carbon monoxide alarm"", ""Private entrance"", ""Exterior security cameras on property"", ""Wine glasses"", ""First aid kit"", ""Shampoo"", ""Long term stays allowed"", ""Wifi"", ""Dishes and silverware"", ""Indoor fireplace: electric"", ""Toaster"", ""Smoke alarm"", ""Kitchen"", ""Self check-in"", ""Shower gel"", ""GE stainless steel oven"", ""Laundromat nearby"", ""Heating"", ""Free street parking"", ""Free dryer \u2013 In building"", ""Cooking basics"", ""Clothing storage: closet"", ""Conditioner"", ""Outdoor furniture"", ""Coffee maker"", ""Essentials"", ""Refrigerator"", ""Keypad"", ""Hangers"", ""Dining table"", ""Shared backyard \u2013 Not fully fenced"", ""Baking sheet"", ""Body soap"", ""Freezer"", ""Extra pillows and blankets"", ""Hair dryer"", ""Iron"", ""Window AC unit"", ""Noise decibel monitors on property"", ""Dedicated workspace"", ""50 inch HDTV with Roku"", ""Portable fans"", ""GE gas stove"", ""Fire extinguisher"", ""Coffee"", ""Private patio or balcony"", ""Portable air conditioning"", ""Hot water""]",180.0,t,0,0,0,11,131,21,0,0.0,24.0,126.0,22680.0,2020-07-05,2024-10-28,4.85,4.9,4.95,4.96,4.96,4.6,4.73,2.31,Albany
850173470105833039,Stunning Guest Suite in Historic 1874 Row House,"Stay in Albany's Grand House! Relax in this gorgeous, light-filled 600-sf guest suite in the historic Mansion District with dramatic 12-ft ceilings, marble fireplaces, modern art, fresh flowers & plants. Suite includes bedroom, living room w/sleeper sofa, work station & private bath. Perfect for couples or families! Walk to downtown, MVP Arena, Lark Street, bars & restaurants. 24/7 entry. EV charger (non Tesla). Lovely garden. Coffee, snacks & reliable WiFi. Super clean, comfortable & private!","The Mansion District is an area of Albany full of historic homes, city parks, and local businesses. Please note that we are part of the urban downtown core. It feels like a city with a lot of different types of people!<br /><br />We are minutes from the downtown business district, the College of St. Rose, SUNY Albany, Albany Medical Center, Albany School of Law, Regeneron & other businesses. We are less than a mile from the Amtrak Albany station and Greyhound bus station, and a 16-min drive from the Albany airport.<br /><br />You can easily walk to the Lark Street shopping district, Center Square, Washington Park, the MVP Arena, the Egg, Empire Plaza, the NY State Capitol house and the Governor's Mansion.",120815848,Phat,2017-03-15,"Albany, NY","I run a content agency called StoryCraft with my partner, Karley. We help startups and nonprofits tell their best stories to attract their ideal audience. We also host a beautiful Airbnb in a historic Albany, NY row house. We would love to host you!",within an hour,100%,100%,t,Mansion Area,1.0,1.0,"['email', 'phone', 'work_email']",t,t,Neighborhood highlights,SECOND WARD,42.6446,-73.75885,Private room in townhouse,Private room,4,1.0,1 private bath,1.0,2.0,"[""Microwave"", ""Dishwasher"", ""Central heating"", ""Trash compactor"", ""Central air conditioning"", ""Cleaning products"", ""Sound system"", ""Bed linens"", ""Free parking on premises"", ""Carbon monoxide alarm"", ""Barbecue utensils"", ""HDTV with Apple TV, Disney+, Amazon Prime Video, HBO Max, Hulu, Netflix"", ""Bathtub"", ""Shared patio or balcony"", ""Safe"", ""Private living room"", ""Wine glasses"", ""First aid kit"", ""Shampoo"", ""Stainless steel gas stove"", ""Long term stays allowed"", ""Pack \u2019n play/Travel crib - always at the listing"", ""Wifi"", ""Cleaning available during stay"", ""Mini fridge"", ""Children\u2019s books and toys for ages 2-5 years old and 5-10 years old"", ""Dishes and silverware"", ""Single oven"", ""Outdoor dining area"", ""Toaster"", ""Smoke alarm"", ""Kitchen"", ""BBQ grill"", ""Rice maker"", ""Room-darkening shades"", ""Self check-in"", ""Shower gel"", ""Coffee maker: drip coffee maker, french press, Keurig coffee machine"", ""Fire pit"", ""Books and reading material"", ""Free street parking"", ""Shared backyard \u2013 Fully fenced"", ""Beach essentials"", ""Cooking basics"", ""Clothing storage: closet"", ""Conditioner"", ""Single level home"", ""Lock on bedroom door"", ""Fireplace guards"", ""Outdoor furniture"", ""Essentials"", ""Crib"", ""Refrigerator"", ""Hangers"", ""Keypad"", ""Courtyard view"", ""Dining table"", ""Baking sheet"", ""Hot water kettle"", ""Body soap"", ""Freezer"", ""Extra pillows and blankets"", ""Hair dryer"", ""Iron"", ""Dedicated workspace"", ""EV charger - level 2"", ""Coffee"", ""Outlet covers"", ""Portable fans"", ""Bikes"", ""Fire extinguisher"", ""Luggage dropoff allowed"", ""Hot water""]",89.0,t,14,44,65,324,161,99,7,265.0,90.0,255.0,22695.0,2023-04-07,2025-02-24,4.99,4.98,4.98,4.99,5.0,4.75,4.97,6.94,Albany
653433851241162365,Lovely apartment in heart of Albany,"Welcome to spacious and serene space.<br />This is one giant bedroom, kitchen, living room and bathroom apartment located in the heart of Albany, Center Square.",,1761578,Grant,2012-02-16,"New York, NY",,within an hour,100%,91%,f,Center Square & Hudson/Park,4.0,7.0,"['email', 'phone']",t,f,,SIXTH WARD,42.65389,-73.76538,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Microwave"", ""Dishwasher"", ""Central heating"", ""Cleaning products"", ""Bed linens"", ""Carbon monoxide alarm"", ""Private entrance"", ""Exterior security cameras on property"", ""Wine glasses"", ""Wifi"", ""Dishes and silverware"", ""Outdoor dining area"", ""Smoke alarm"", ""Kitchen"", ""Self check-in"", ""Shower gel"", ""Stove"", ""Cooking basics"", ""Essentials"", ""Hangers"", ""Dining table"", ""TV"", ""Freezer"", ""Oven"", ""Window AC unit"", ""Dedicated workspace"", ""Noise decibel monitors on property"", ""Smart lock""]",130.0,t,0,9,38,38,6,4,0,38.0,5.0,24.0,3120.0,2023-03-20,2024-10-21,5.0,5.0,4.83,4.83,5.0,4.67,4.33,0.25,Albany
